iso3_code,connectivity_govt,school_id_giga,num_students,num_classrooms,connectivity,school_id_govt,school_name,latitude,longitude,education_level,connectivity_type_govt,admin1,admin1_id_giga,admin2,admin2_id_giga,num_computers,num_teachers,source_lat_lon,country,unicef_region,itu_region,continent
BIH,Yes,6ad5efd0-cd96-3422-899d-d2a83ce0775b,36,2,Yes,G-9-A-58,OŠ Kaćuni - PŠ Bukovci,44.04635238647460,17.956912994384800,Primary,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Srednjobosanski,BIH002006,0,4,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6ae7af2e-9aa8-30fd-9952-7e37390e8b64,68,10,Yes,H-3-B-53,"Javna ustanova Osnovna škola ""Seonica",43.73872375488280,17.84139633178710,Primary,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Hercegovačko-Neretvanski,BIH002007,19,20,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6b3a0b64-ccb2-3e61-94db-8c62c14c9f8d,48,3,Yes,L-37-A-528,"ЈУ Основна школа ""Петар Кочић"" Козлук",44.52011489868160,19.110515594482400,Primary,(A)DSL интернет,Republika Srpska,BIH001,Vlasenica,BIH001007,0,5,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6b3cc2b6-deaf-32cd-a1f4-c9afc6b17dc5,950,21,Yes,L-12-B-226,"ЈУ ОШ ""Петар Петровић Његош",44.76677703857420,17.21636962890630,Primary,(A)DSL интернет,Republika Srpska,BIH001,Banja Luka,BIH001001,16,58,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6b4cefb0-6308-3249-ad9c-829d75d7326d,87,10,Yes,K-6-B-42,Područna škola Šujica - OŠ Ivana Mažuranića Tomislavgrad,43.8380012512207,17.187000274658200,Primary,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Kanton 10,BIH002010,0,16,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6bbe09cd-80ab-30cb-b831-a7e2b91e84bf,24,2,Yes,L-29-A-17,"ЈУ ОШ "" Петар Кочић"" Угодновић, Подручна школа Очауш",44.527339935302700,17.652143478393600,Primary,Фибер-оптички интернет,Republika Srpska,BIH001,Banja Luka,BIH001001,1,4,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,6befee13-6036-3b6d-8fa3-d5203679378f,2,2,No,L-5-A-643,"Јавна установа Основна школа ""Десанка Максимовић"" Оштра Лука ПО Батковци",44.85521697998050,16.561424255371100,Primary,Не постоји активна интернет веза,Republika Srpska,BIH001,Banja Luka,BIH001001,0,1,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,6cadfd7f-fe7e-3bfa-ac80-7d4abe4ab3db,40,4,No,H-5-A-117,Osnovna škola Čapljina - PO Opličići,43.11799240112310,17.801366806030300,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Hercegovačko-Neretvanski,BIH002007,2,6,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6cd4d24d-5159-3afb-831b-7b58ef9d51f4,84,10,Yes,K-4-B-22,"OŠ. ,,Fra Lovro KaraulaˇPodhum",43.7249870300293,17.003799438476600,Primary,Kablovski internet,Federacija Bosne i Hercegovine,BIH002,Kanton 10,BIH002010,37,13,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,6d81910d-968f-3aee-b3c0-de86888c55e2,16,2,No,D-8-A-103,"Javna ustanova Osnovna škola ""Teočak",44.6214485168457,18.970317840576200,Primary,Ne postoji aktivna internet veza,Republika Srpska,BIH001,Bijeljina,BIH001002,0,3,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
